kdppk,nmppk,jnsppk,nmjnsppk,telpppk,latitude,longitude,nmjlnppk,icon
0106B066,Klinik Unila   ,,Klinik Pratama,0721-770294,-5.36461,105.245,JL. PROF. DR. SOEMANTRI BROJONEGORO NO.1,libs/assets/images/rs_merah.png
0106B068,KLINIK IDSA MEDIKA,,Klinik Pratama,0813-6792963,-5.37408,105.213,JL.PERUM BKP NO.01 BLOK Y KEL.,libs/assets/images/rs_merah.png
0106B070,KLINIK FLORA,,Klinik Pratama,0812-72543359,-5.38573,105.248,JLN PAGAR ALAM (GANG PU) SEGALA MIDER TANJUNG KARANG BARAT BANDAR LAMPUNG ,libs/assets/images/rs_merah.png
0106B071,KLINIK AL HUSNA CITRA MEDIKA,,Klinik Pratama,0821-84641892,-5.44662,105.251,JL DR SETIABUDI/AMD 47B,libs/assets/images/rs_merah.png
0106B072,KLINIK ALZARA,,Klinik Pratama,0813-7982334,-5.39429,105.266,JALAN PAJAJARAN GANG MUSOLLAH ,libs/assets/images/rs_merah.png
0106B073,KLINIK DOKTER NUSANTARA,,Klinik Pratama,0822-80305922,-5.40645,105.306,JL.ALIMUDIN UMAR,libs/assets/images/rs_merah.png
0106B074,KLINIK CAHAYA SEHAT,,Klinik Pratama,0822-55321990,-5.37605,105.212,JL. PERUMAHAN BUKIT KEMILING BLOK Q.7 LK.III,libs/assets/images/rs_merah.png
0106B075,KLINIK AZIZAH MEDIKA,,Klinik Pratama,0821-8140815,-5.4001,105.27,JALAN PULAU BACAN 57 H LK 2. J,libs/assets/images/rs_merah.png
0106B076,KLINIK BYPASS,,Klinik Pratama,082185966603,-5.36316,105.259,JL.SOEKARNO HATTA NO 2C,libs/assets/images/rs_merah.png
0106B077,KLINIK SPN POLDA LAMPUNG,,Klinik Pratama,089521619039,-5.40699,105.205,Jl. Untung Suropati No. 1,libs/assets/images/rs_merah.png
0106U020,Klinik Kemiling Sehat,,Klinik Pratama,0721-7695106,-5.3928407914578,105.22810192394,JL. IMAM BONJOL NO.A2-A3,libs/assets/images/rs_merah.png
0106U024,Klinik Azzura,,Klinik Pratama,0887-06569524,-5.41577,105.267,JL. GADJAH MADA NO.59C,libs/assets/images/rs_merah.png
0106U025,Klinik Keluarga Sehat,,Klinik Pratama,0895-20700405,-5.39805,105.213,JL. TEUKU CIK DITIRO NO.24,libs/assets/images/rs_merah.png
0106U140,Klinik Untung Medika,,Klinik Pratama,0721-8014400,-5.36433,105.257,JL. UNTUNG SUROPATI NO.31,libs/assets/images/rs_merah.png
